ID;Rooms;District;Meters;Floor;House;Price;Interier
232250487;3;Самарский;91.3/62.6/15.0;6/10; Кирпичный;7850000;Косметический
232250488;1;Кировский;30.0/18.0/6.0;3/5; Кирпичный;1640000;Косметический
232296463;1;Железнодорожный;41.0/17.0/8.0;1/5; Кирпичный;2190000;Без ремонта
232352425;2;Ленинский;56.9/35.0/8.0;11/16; Кирпичный;4050000;Косметический
232358562;1;Ленинский;38.0/21.0/7.0;3/16;Нет данных;2850000;Нет данных
232358733;1;Промышленный;36.0/14.0/8.0;1/16;Нет данных;1450000;Нет данных
232358737;1;Промышленный;37.0/14.0/10.0;1/16;Нет данных;1500000;Нет данных
232367998;2;Кировский;45.0/28.5/6.0;2/5; Блочный;1940000;Без ремонта
232401386;2;Самарский;70.5/40.0/16.0;4/5; Кирпичный;7100000;Косметический
232469767;1;Железнодорожный;30.0/18.0/6.0;1/5; Панельный;1900000;Косметический
232493289;3;Самарский;47.0/38.0/7.0;2/2; Деревянный;850000;Косметический
232549019;1;Ленинский;43.95/19.2/10.0;17/26;Нет данных;3050000;Нет данных
232587176;2;Кировский;44.6/30.0/5.8;2/3; Кирпичный;1850000;Косметический
232599655;3;Промышленный;65.0/42.0/10.0;8/9; Панельный;3900000;Без ремонта
232739114;1;Кировский;30.0/17.5/5.4;4/5;Нет данных;1650000;Косметический
